,Sharing,Address,Size,Provider,Receiver,Latency (ns)
0,read,20480,8,6,0,40.001
1,read,20480,64,6,0,40.001
2,write,20480,64,6,0,21.251
3,write,20480,8,6,0,43.001
4,read,524288,64,6,0,29.001
5,write,524288,64,6,0,15.751
6,write,524288,8,6,0,32.001
7,read,0,8,6,0,34.501
8,read,0,64,6,0,29.001
9,write,0,64,6,0,10.251
10,write,0,8,6,0,32.001
11,write,1048576,8,6,0,32.001
12,write,1048576,64,6,0,15.751
13,read,1048576,64,6,0,29.001
14,read,4096,64,6,0,29.001
15,read,4096,8,6,0,29.001
16,write,4096,64,6,0,15.751
17,write,4096,8,6,0,32.001
18,write,20480,8,6,7,37.501
19,write,20480,64,6,7,26.751
20,read,20480,64,6,7,34.501
21,read,20480,8,6,7,34.501
22,read,524288,64,6,7,23.501
23,write,524288,64,6,7,15.751
24,write,524288,8,6,7,26.501
25,read,4096,8,6,7,23.501
26,read,4096,64,6,7,23.501
27,write,4096,8,6,7,26.501
28,write,4096,64,6,7,15.751
29,write,1048576,64,6,7,15.751
30,write,1048576,8,6,7,26.501
31,read,1048576,64,6,7,23.501
32,read,0,64,6,7,29.001
33,read,0,8,6,7,34.501
34,write,0,8,6,7,32.001
35,write,0,64,6,7,21.251
36,read,0,8,6,3,34.501
37,read,0,64,6,3,29.001
38,write,0,8,6,3,32.001
39,write,0,64,6,3,15.751
40,write,4096,64,6,3,10.251
41,write,4096,8,6,3,26.501
42,read,4096,64,6,3,23.501
43,read,4096,8,6,3,23.501
44,write,1048576,64,6,3,10.251
45,write,1048576,8,6,3,26.501
46,read,1048576,64,6,3,23.501
47,write,20480,8,6,3,37.501
48,write,20480,64,6,3,15.751
49,read,20480,64,6,3,34.501
50,read,20480,8,6,3,34.501
51,write,524288,64,6,3,10.251
52,write,524288,8,6,3,26.501
53,read,524288,64,6,3,23.501
54,write,524288,64,6,4,21.251
55,write,524288,8,6,4,32.001
56,read,524288,64,6,4,29.001
57,read,20480,64,6,4,34.501
58,read,20480,8,6,4,34.501
59,write,20480,64,6,4,21.251
60,write,20480,8,6,4,37.501
61,write,1048576,8,6,4,32.001
62,write,1048576,64,6,4,21.251
63,read,1048576,64,6,4,29.001
64,write,0,8,6,4,32.001
65,write,0,64,6,4,15.751
66,read,0,64,6,4,29.001
67,read,0,8,6,4,34.501
68,read,4096,8,6,4,29.001
69,read,4096,64,6,4,29.001
70,write,4096,8,6,4,32.001
71,write,4096,64,6,4,21.251
72,read,20480,8,6,1,40.001
73,read,20480,64,6,1,40.001
74,write,20480,64,6,1,21.251
75,write,20480,8,6,1,43.001
76,write,1048576,64,6,1,15.751
77,write,1048576,8,6,1,32.001
78,read,1048576,64,6,1,29.001
79,read,4096,8,6,1,29.001
80,read,4096,64,6,1,29.001
81,write,4096,64,6,1,15.751
82,write,4096,8,6,1,32.001
83,read,524288,64,6,1,29.001
84,write,524288,64,6,1,15.751
85,write,524288,8,6,1,32.001
86,write,0,64,6,1,10.251
87,write,0,8,6,1,32.001
88,read,0,8,6,1,34.501
89,read,0,64,6,1,29.001
90,read,20480,8,6,5,34.501
91,read,20480,64,6,5,34.501
92,write,20480,64,6,5,21.251
93,write,20480,8,6,5,37.501
94,read,1048576,64,6,5,29.001
95,write,1048576,8,6,5,32.001
96,write,1048576,64,6,5,21.251
97,read,4096,8,6,5,29.001
98,read,4096,64,6,5,29.001
99,write,4096,8,6,5,32.001
100,write,4096,64,6,5,21.251
101,write,0,64,6,5,15.751
102,write,0,8,6,5,32.001
103,read,0,8,6,5,34.501
104,read,0,64,6,5,29.001
105,write,524288,64,6,5,21.251
106,write,524288,8,6,5,32.001
107,read,524288,64,6,5,29.001
108,write,4096,64,6,2,10.251
109,write,4096,8,6,2,26.501
110,read,4096,64,6,2,23.501
111,read,4096,8,6,2,23.501
112,read,20480,8,6,2,34.501
113,read,20480,64,6,2,34.501
114,write,20480,64,6,2,15.751
115,write,20480,8,6,2,37.501
116,read,524288,64,6,2,23.501
117,write,524288,8,6,2,26.501
118,write,524288,64,6,2,10.251
119,read,1048576,64,6,2,23.501
120,write,1048576,64,6,2,10.251
121,write,1048576,8,6,2,26.501
122,write,0,64,6,2,15.751
123,write,0,8,6,2,32.001
124,read,0,64,6,2,29.001
125,read,0,8,6,2,34.501
126,write,0,8,1,6,32.001
127,write,0,64,1,6,21.251
128,read,0,8,1,6,34.501
129,read,0,64,1,6,29.001
130,write,4096,8,1,6,32.001
131,write,4096,64,1,6,15.751
132,read,4096,8,1,6,29.001
133,read,4096,64,1,6,29.001
134,read,20480,64,1,6,40.001
135,read,20480,8,1,6,40.001
136,write,20480,8,1,6,43.001
137,write,20480,64,1,6,26.751
138,write,524288,64,1,6,15.751
139,write,524288,8,1,6,32.001
140,read,524288,64,1,6,29.001
141,read,1048576,64,1,6,29.001
142,write,1048576,8,1,6,32.001
143,write,1048576,64,1,6,15.751
144,read,4096,8,1,5,29.001
145,read,4096,64,1,5,29.001
146,write,4096,8,1,5,32.001
147,write,4096,64,1,5,21.251
148,read,1048576,64,1,5,29.001
149,write,1048576,64,1,5,21.251
150,write,1048576,8,1,5,32.001
151,write,524288,8,1,5,32.001
152,write,524288,64,1,5,21.251
153,read,524288,64,1,5,29.001
154,write,20480,64,1,5,21.251
155,write,20480,8,1,5,37.501
156,read,20480,8,1,5,34.501
157,read,20480,64,1,5,34.501
158,read,0,64,1,5,23.501
159,read,0,8,1,5,29.001
160,write,0,64,1,5,15.751
161,write,0,8,1,5,26.501
162,write,4096,8,1,2,26.501
163,write,4096,64,1,2,10.251
164,read,4096,8,1,2,23.501
165,read,4096,64,1,2,23.501
166,read,20480,8,1,2,29.001
167,read,20480,64,1,2,29.001
168,write,20480,64,1,2,15.751
169,write,20480,8,1,2,32.001
170,read,524288,64,1,2,23.501
171,write,524288,8,1,2,26.501
172,write,524288,64,1,2,10.251
173,write,1048576,8,1,2,26.501
174,write,1048576,64,1,2,10.251
175,read,1048576,64,1,2,23.501
176,write,0,8,1,2,26.501
177,write,0,64,1,2,15.751
178,read,0,8,1,2,23.501
179,read,0,64,1,2,23.501
180,write,20480,8,1,0,32.001
181,write,20480,64,1,0,21.251
182,read,20480,8,1,0,29.001
183,read,20480,64,1,0,29.001
184,write,524288,8,1,0,26.501
185,write,524288,64,1,0,15.751
186,read,524288,64,1,0,23.501
187,read,1048576,64,1,0,23.501
188,write,1048576,8,1,0,26.501
189,write,1048576,64,1,0,15.751
190,write,0,8,1,0,21.001
191,write,0,64,1,0,10.251
192,read,0,8,1,0,18.001
193,read,0,64,1,0,18.001
194,write,4096,8,1,0,26.501
195,write,4096,64,1,0,15.751
196,read,4096,8,1,0,23.501
197,read,4096,64,1,0,23.501
198,write,20480,8,1,7,43.001
199,write,20480,64,1,7,26.751
200,read,20480,64,1,7,40.001
201,read,20480,8,1,7,40.001
202,read,4096,8,1,7,29.001
